GeneID	Sample	Expression
Os04g0127200	9311	21.92827067
Os04g0127200	LYP9	14.33921367
Os04g0127200	PA64s	5.628464667
Os10g0432400	9311	30.42846667
Os10g0432400	LYP9	15.944737
Os10g0432400	PA64s	6.135028
Os07g0237700	9311	4.897012333
Os07g0237700	LYP9	16.692764
Os07g0237700	PA64s	43.41523033
Os11g0569600	9311	6.805092667
Os11g0569600	LYP9	17.10865567
Os11g0569600	PA64s	54.24639067
Os10g0495200	9311	7.004762667
Os10g0495200	LYP9	17.65665567
Os10g0495200	PA64s	40.83896533
Os04g0487000	9311	37.79065433
Os04g0487000	LYP9	19.87208433
Os04g0487000	PA64s	4.663248667
Os04g0218400	9311	7.229392
Os04g0218400	LYP9	20.944035
Os04g0218400	PA64s	41.54423867
Os01g0115800	9311	7.967703333
Os01g0115800	LYP9	21.20210033
Os01g0115800	PA64s	41.28943033
Os12g0194100	9311	6.315725
Os12g0194100	LYP9	22.63193967
Os12g0194100	PA64s	67.467256
Os06g0288400	9311	27.56802267
Os06g0288400	LYP9	23.47341
Os06g0288400	PA64s	6.650974667
Os11g0648400	9311	8.713255
Os11g0648400	LYP9	23.648518
Os11g0648400	PA64s	74.00336633
Os01g0248300	9311	8.68852
Os01g0248300	LYP9	24.355313
Os01g0248300	PA64s	102.142075
Os04g0269700	9311	9.298990667
Os04g0269700	LYP9	24.70559133
Os04g0269700	PA64s	46.24328333
Os07g0228400	9311	10.24295233
Os07g0228400	LYP9	24.82997733
Os07g0228400	PA64s	47.793297
Os04g0308100	9311	7.112395
Os04g0308100	LYP9	25.17198533
Os04g0308100	PA64s	34.240009
Os05g0320800	9311	8.139458
Os05g0320800	LYP9	25.48471433
Os05g0320800	PA64s	31.62621433
Os06g0505700	9311	9.015906
Os06g0505700	LYP9	26.19840067
Os06g0505700	PA64s	32.397684
Os12g0299600	9311	68.186292
Os12g0299600	LYP9	27.349461
Os12g0299600	PA64s	9.943724
Os05g0217900	9311	68.186292
Os05g0217900	LYP9	27.349461
Os05g0217900	PA64s	9.943724
Os06g0189600	9311	58.956885
Os06g0189600	LYP9	27.46805267
Os06g0189600	PA64s	10.120523
Os06g0653200	9311	9.389156
Os06g0653200	LYP9	28.05284533
Os06g0653200	PA64s	34.577794
Os10g0124700	9311	10.31474367
Os10g0124700	LYP9	28.09469667
Os10g0124700	PA64s	46.15846033
Os01g0544200	9311	8.051305
Os01g0544200	LYP9	28.576077
Os01g0544200	PA64s	78.62910767
Os01g0543600	9311	8.051305
Os01g0543600	LYP9	28.576077
Os01g0543600	PA64s	78.62910767
Os02g0507100	9311	44.48736733
Os02g0507100	LYP9	28.79773667
Os02g0507100	PA64s	10.219864
Os04g0420500	9311	10.41631133
Os04g0420500	LYP9	28.990196
Os04g0420500	PA64s	47.76121667
Os01g0368700	9311	10.66731633
Os01g0368700	LYP9	29.382574
Os01g0368700	PA64s	62.97250633
Os11g0649600	9311	31.797588
Os11g0649600	LYP9	29.49587633
Os11g0649600	PA64s	10.239124
Os11g0625900	9311	54.81512367
Os11g0625900	LYP9	29.759937
Os11g0625900	PA64s	5.808166667
Os12g0197200	9311	7.367022667
Os12g0197200	LYP9	29.995344
Os12g0197200	PA64s	49.107336
Os07g0521100	9311	10.089394
Os07g0521100	LYP9	29.99995233
Os07g0521100	PA64s	74.27867667
Os04g0632300	9311	8.915471
Os04g0632300	LYP9	31.134442
Os04g0632300	PA64s	102.3806813
Os11g0615900	9311	4.628685
Os11g0615900	LYP9	32.070714
Os11g0615900	PA64s	134.769025
Os10g0506200	9311	50.64695533
Os10g0506200	LYP9	32.574789
Os10g0506200	PA64s	10.64871
Os04g0208500	9311	11.60774467
Os04g0208500	LYP9	32.58967733
Os04g0208500	PA64s	70.59128433
Os01g0532700	9311	8.616110333
Os01g0532700	LYP9	32.908183
Os01g0532700	PA64s	67.37221
Os07g0521600	9311	11.64556867
Os07g0521600	LYP9	33.15628933
Os07g0521600	PA64s	63.93293767
Os12g0248600	9311	9.955573333
Os12g0248600	LYP9	33.31514367
Os12g0248600	PA64s	60.32224333
Os12g0557900	9311	62.41372833
Os12g0557900	LYP9	34.105565
Os12g0557900	PA64s	5.953519667
Os01g0947700	9311	6.761025667
Os01g0947700	LYP9	34.57302867
Os01g0947700	PA64s	97.658266
Os04g0380000	9311	6.428241
Os04g0380000	LYP9	34.683598
Os04g0380000	PA64s	84.952933
Os01g0553301	9311	11.44926
Os01g0553301	LYP9	35.02995767
Os01g0553301	PA64s	87.71713033
Os06g0621500	9311	12.56680333
Os06g0621500	LYP9	35.392203
Os06g0621500	PA64s	61.54324033
Os12g0202800	9311	53.58229
Os12g0202800	LYP9	35.52278967
Os12g0202800	PA64s	14.15745333
Os01g0369600	9311	10.55559
Os01g0369600	LYP9	36.146828
Os01g0369600	PA64s	80.92156233
Os06g0492000	9311	12.45169567
Os06g0492000	LYP9	36.15896067
Os06g0492000	PA64s	37.923306
Os07g0282500	9311	12.72195667
Os07g0282500	LYP9	36.268919
Os07g0282500	PA64s	87.77944333
Os09g0529300	9311	64.75797767
Os09g0529300	LYP9	36.646658
Os09g0529300	PA64s	13.98049267
Os09g0310800	9311	11.13806667
Os09g0310800	LYP9	36.821955
Os09g0310800	PA64s	82.42290833
Os04g0107500	9311	11.32382367
