GeneId	N9311	LYP9	PA64s
Os04g0127200	21.92827067	14.33921367	5.628464667
Os10g0432400	30.42846667	15.944737	6.135028
Os07g0237700	4.897012333	16.692764	43.41523033
Os11g0569600	6.805092667	17.10865567	54.24639067
Os10g0495200	7.004762667	17.65665567	40.83896533
Os04g0487000	37.79065433	19.87208433	4.663248667
Os04g0218400	7.229392	20.944035	41.54423867
Os01g0115800	7.967703333	21.20210033	41.28943033
Os12g0194100	6.315725	22.63193967	67.467256
Os06g0288400	27.56802267	23.47341	6.650974667
Os11g0648400	8.713255	23.648518	74.00336633
Os01g0248300	8.68852	24.355313	102.142075
Os04g0269700	9.298990667	24.70559133	46.24328333
Os07g0228400	10.24295233	24.82997733	47.793297
Os04g0308100	7.112395	25.17198533	34.240009
Os05g0320800	8.139458	25.48471433	31.62621433
Os06g0505700	9.015906	26.19840067	32.397684
Os12g0299600	68.186292	27.349461	9.943724
Os05g0217900	68.186292	27.349461	9.943724
Os06g0189600	58.956885	27.46805267	10.120523
Os06g0653200	9.389156	28.05284533	34.577794
Os10g0124700	10.31474367	28.09469667	46.15846033
Os01g0544200	8.051305	28.576077	78.62910767
Os01g0543600	8.051305	28.576077	78.62910767
Os02g0507100	44.48736733	28.79773667	10.219864
Os04g0420500	10.41631133	28.990196	47.76121667
Os01g0368700	10.66731633	29.382574	62.97250633
Os11g0649600	31.797588	29.49587633	10.239124
Os11g0625900	54.81512367	29.759937	5.808166667
Os12g0197200	7.367022667	29.995344	49.107336
Os07g0521100	10.089394	29.99995233	74.27867667
Os04g0632300	8.915471	31.134442	102.3806813
Os11g0615900	4.628685	32.070714	134.769025
Os10g0506200	50.64695533	32.574789	10.64871
Os04g0208500	11.60774467	32.58967733	70.59128433
Os01g0532700	8.616110333	32.908183	67.37221
Os07g0521600	11.64556867	33.15628933	63.93293767
Os12g0248600	9.955573333	33.31514367	60.32224333
Os12g0557900	62.41372833	34.105565	5.953519667
Os01g0947700	6.761025667	34.57302867	97.658266
Os04g0380000	6.428241	34.683598	84.952933
Os01g0553301	11.44926	35.02995767	87.71713033
Os06g0621500	12.56680333	35.392203	61.54324033
Os12g0202800	53.58229	35.52278967	14.15745333
Os01g0369600	10.55559	36.146828	80.92156233
Os06g0492000	12.45169567	36.15896067	37.923306
Os07g0282500	12.72195667	36.268919	87.77944333
Os09g0529300	64.75797767	36.646658	13.98049267
Os09g0310800	11.13806667	36.821955	82.42290833
Os04g0107500	11.32382367	37.420666	61.15316833
Os10g0395400	11.604861	38.39542333	39.03393633
Os12g0637300	98.46671233	38.405867	4.955890333
Os04g0116600	14.51409467	38.553156	66.22270767
Os07g0573900	10.62330433	38.76292267	40.68196933
Os08g0132600	67.16595167	39.131226	14.56410933
Os08g0170200	55.552648	39.322807	14.246634
Os04g0173300	5.002892	39.39241333	61.67968067
Os07g0232300	15.71586167	39.53293667	62.14945567
Os08g0518800	14.18249267	39.68818467	86.64088133
Os12g0223000	10.521458	39.853238	92.76091567
Os01g0633500	14.53663367	42.009284	40.098896
Os01g0606400	67.96706833	42.84346067	11.522311
Os04g0376100	13.74683833	42.90802167	98.41832167
Os06g0621600	14.33509667	43.41461567	92.789338
Os01g0372500	5.735439	43.61725767	26.08452233
Os07g0200900	9.421386	43.626754	75.87939833
Os11g0565300	63.93932833	43.84149633	11.76948
Os12g0204600	10.894665	44.260554	69.597217
Os04g0219600	9.745630333	44.728164	78.64979733
Os12g0482500	10.46032	44.900596	84.58954767
Os08g0208200	11.35405067	45.29829467	119.620196
Os01g0633100	89.36878367	45.57995633	18.737608
Os01g0552500	17.81891067	45.62152633	103.8471977
Os04g0115200	86.328363	46.46592533	9.411774
Os10g0388500	8.895999333	47.18868667	88.4556
Os01g0117100	11.98673533	47.34329267	77.53491033
Os12g0622500	77.18367967	47.50778433	17.63159433
Os12g0221600	52.71710267	48.04409267	12.82518367
Os12g0511400	8.853207	48.392155	89.234603
Os07g0289600	14.056614	48.717057	76.68056333
Os07g0486400	14.50943067	48.82919367	96.739852
Os04g0184100	9.358516	49.60722067	97.50048533
Os12g0408800	11.54886833	49.80973167	108.9450773
Os12g0226700	12.905359	50.37285933	82.81405767
Os02g0545700	98.064959	50.45704967	6.181473
Os04g0180900	17.72507233	51.07239633	103.2454097
Os12g0553200	19.476972	51.08798667	68.30522267
Os08g0240533	76.03899667	51.14975833	13.40258033
Os07g0522600	19.47255067	51.966802	91.56820133
Os12g0448400	15.43209533	52.01110233	175.451324
Os12g0441700	8.203350333	52.349177	120.810055
Os12g0541200	10.889971	52.46010533	95.98772067
Os05g0210600	22.16123567	53.32042067	39.763216
Os07g0621400	77.420232	53.54765733	19.711809
Os12g0629700	113.9734117	53.890504	13.19189633
Os12g0428400	48.08163067	54.065155	11.70382367
Os03g0576600	84.352433	54.13742633	16.70915367
Os04g0249600	12.106643	55.07430867	688.3376647
Os05g0580100	15.581425	55.271218	98.98952033
Os04g0622600	11.59994367	55.334671	147.288637
Os04g0204300	18.60028833	56.06517033	97.84223833
Os11g0689100	6.326711333	56.17275033	120.5361093
Os12g0239900	13.19537967	56.61442267	100.3286153
Os01g0390300	8.836159	56.80989067	76.808298
Os12g0279000	10.20874633	56.939274	106.5606547
Os10g0159300	5.921101	57.246997	86.84793667
Os08g0421400	7.873036	57.25188067	94.95091433
Os02g0289700	81.224023	57.558188	17.40486667
Os01g0508300	13.13906567	57.746109	87.74830133
Os03g0663100	9.309322333	58.893099	158.4067237
Os10g0374666	22.27253567	59.30689733	69.93256467
Os07g0162600	15.54679967	59.63851767	147.0932083
Os03g0789500	136.8475743	59.71608733	16.40065533
Os09g0369400	88.30519867	60.25094867	13.42027033
Os01g0258000	24.98505167	60.451174	72.63205367
Os04g0384850	16.31359433	60.87528133	147.507571
Os12g0428200	5.134974	61.15853567	129.393467
Os04g0286400	14.041305	61.61362733	132.9217337
Os06g0135000	133.6944987	61.699349	7.347619333
Os07g0197100	22.571813	61.76153	98.59666267
Os09g0241700	7.396735333	63.10687067	142.1557363
Os06g0134466	155.3103767	64.34571467	13.691103
