first second position
Capana01g000002 Solyc12g038820.1.1 13466.5
Capana01g000004 Solyc12g100360.1.1 143934.5
Capana01g000005 Solyc08g083280.2.1 162074
Capana01g000006 Solyc08g083290.2.1 183090
Capana01g000008 Solyc08g083300.2.1 196530.5
Capana01g000009 Solyc08g083310.2.1 202222.5
Capana01g000010 Solyc08g083320.2.1 207144
Capana01g000013 Solyc08g083330.2.1 218257.5
Capana01g000014 Solyc10g009000.2.1 245821
Capana01g000015 Solyc08g083340.1.1 285425.5
Capana01g000016 Solyc02g083660.1.1 292340.5
Capana01g000017 Solyc08g083350.2.1 294727
Capana01g000018 Solyc08g083370.2.1 298422.5
Capana01g000019 Solyc08g083400.2.1 316892.5
Capana01g000021 Solyc04g005370.2.1 331073.5
Capana01g000022 Solyc04g025410.1.1 332267.5
Capana01g000023 Solyc01g005640.2.1 339781
Capana01g000025 Solyc05g025570.1.1 402436
Capana01g000028 Solyc00g068970.2.1 404036.5
Capana01g000030 Solyc12g100360.1.1 544379.5
Capana01g000032 Solyc12g062980.1.1 591653
Capana01g000033 Solyc08g008660.2.1 619847.5
Capana01g000034 Solyc08g008660.2.1 621611.5
Capana01g000035 Solyc08g083270.1.1 628047.5
Capana01g000036 Solyc08g083260.2.1 639745.5
Capana01g000037 Solyc08g083250.2.1 645398.5
Capana01g000038 Solyc08g083240.2.1 675511
Capana01g000039 Solyc08g083230.1.1 679771.5
Capana01g000040 Solyc08g083220.1.1 686426.5
Capana01g000041 Solyc08g083210.2.1 690893.5
Capana01g000044 Solyc08g083190.2.1 737520
Capana01g000045 Solyc08g083170.1.1 747084
Capana01g000046 Solyc08g083130.2.1 804248.5
Capana01g000048 Solyc08g083110.2.1 825476.5
Capana01g000049 Solyc08g083140.2.1 838248
Capana01g000050 Solyc08g083090.1.1 842443.5
Capana01g000051 Solyc08g083140.2.1 843585.5
Capana01g000052 Solyc08g083070.2.1 851818
Capana01g000053 Solyc08g083060.2.1 859391.5
Capana01g000054 Solyc08g083050.1.1 869602.5
Capana01g000056 Solyc08g083040.2.1 880532.5
Capana01g000057 Solyc08g061640.1.1 885556.5
Capana01g000058 Solyc08g061630.2.1 887501
Capana01g000059 Solyc08g083030.2.1 905887.5
Capana01g000060 Solyc08g083020.2.1 911124
Capana01g000061 Solyc08g083010.2.1 915346
Capana01g000062 Solyc08g082980.2.1 972920
Capana01g000063 Solyc08g082970.2.1 978236.5
Capana01g000064 Solyc08g082960.2.1 982305
Capana01g000065 Solyc08g082950.2.1 988472.5
Capana01g000066 Solyc08g082940.2.1 994115.5
Capana01g000067 Solyc08g082920.2.1 1024916
Capana01g000068 Solyc08g082910.1.1 1033280
Capana01g000069 Solyc08g082900.2.1 1048799.5
Capana01g000070 Solyc08g082890.2.1 1059600.5
Capana01g000071 Solyc08g082880.2.1 1065682
Capana01g000072 Solyc08g082870.2.1 1073410
Capana01g000073 Solyc08g082860.2.1 1089168.5
Capana01g000074 Solyc08g082860.2.1 1095683
Capana01g000075 Solyc08g082850.2.1 1107120.5
Capana01g000076 Solyc08g082840.1.1 1119121.5
Capana01g000077 Solyc08g082830.2.1 1129153.5
Capana01g000078 Solyc08g082820.2.1 1137353
Capana01g000079 Solyc08g082810.2.1 1145004.5
Capana01g000081 Solyc09g091470.2.1 1188180
Capana01g000082 Solyc08g082750.2.1 1191139.5
Capana01g000083 Solyc10g052710.1.1 1193637
Capana01g000084 Solyc05g010540.2.1 1288052
Capana01g000085 Solyc08g082810.2.1 1291429
Capana01g000086 Solyc08g082810.2.1 1293542
Capana01g000088 Solyc08g008460.2.1 1357305.5
Capana01g000089 Solyc09g065120.2.1 1369310
Capana01g000090 Solyc03g119720.2.1 1390423.5
Capana01g000092 Solyc08g082770.2.1 1411804
Capana01g000093 Solyc05g010540.2.1 1414854.5
Capana01g000094 Solyc00g042840.1.1 1417276
Capana01g000095 Solyc08g082760.2.1 1420490
Capana01g000096 Solyc10g052710.1.1 1464383.5
Capana01g000097 Solyc08g082750.2.1 1504188.5
Capana01g000098 Solyc08g082740.2.1 1522347
Capana01g000099 Solyc08g082730.2.1 1527336
Capana01g000100 Solyc08g082720.2.1 1536321
Capana01g000101 Solyc08g082710.2.1 1542961
Capana01g000102 Solyc08g082700.2.1 1552197
Capana01g000104 Solyc08g082690.2.1 1563447.5
Capana01g000105 Solyc08g082680.2.1 1569719.5
Capana01g000106 Solyc08g082640.2.1 1574790
Capana01g000107 Solyc08g082640.2.1 1605078
Capana01g000108 Solyc08g082670.2.1 1609031
Capana01g000109 Solyc08g082630.2.1 1627371
Capana01g000110 Solyc08g082620.2.1 1659994
Capana01g000111 Solyc08g082620.2.1 1665561.5
Capana01g000112 Solyc08g082620.2.1 1700558.5
Capana01g000113 Solyc08g082620.2.1 1727076.5
Capana01g000114 Solyc08g082610.2.1 1738343.5
Capana01g000115 Solyc08g082590.2.1 1746294
Capana01g000116 Solyc08g082580.2.1 1751991
Capana01g000117 Solyc08g082580.2.1 1754137
Capana01g000118 Solyc08g082570.2.1 1758598.5
Capana01g000119 Solyc08g082560.2.1 1764302
Capana01g000120 Solyc08g082540.2.1 1791202.5
Capana01g000121 Solyc08g082530.2.1 1802126
Capana01g000122 Solyc08g082520.1.1 1816934
Capana01g000123 Solyc06g068630.2.1 1825877.5
Capana01g000124 Solyc08g082510.1.1 1830502
Capana01g000125 Solyc11g045050.1.1 1855902.5
Capana01g000126 Solyc08g082510.1.1 1860376.5
Capana01g000127 Solyc08g082510.1.1 1864579.5
Capana01g000128 Solyc00g042840.1.1 1865861
Capana01g000129 Solyc08g061920.1.1 1870540
Capana01g000130 Solyc06g068630.2.1 1890612.5
Capana01g000131 Solyc07g053830.2.1 1925471.5
Capana01g000132 Solyc10g008210.2.1 1937594.5
Capana01g000135 Solyc12g049230.1.1 1964712.5
Capana01g000136 Solyc08g081650.1.1 1967909.5
Capana01g000137 Solyc08g081680.1.1 1973781
Capana01g000138 Solyc08g081690.2.1 2028720.5
Capana01g000140 Solyc02g067150.2.1 2070291
Capana01g000141 Solyc08g081710.2.1 2075291.5
Capana01g000142 Solyc08g081720.2.1 2092451.5
Capana01g000143 Solyc08g081720.2.1 2095694
Capana01g000144 Solyc08g081730.2.1 2102968.5
Capana01g000145 Solyc08g081740.2.1 2106282
Capana01g000146 Solyc08g081740.2.1 2109434
Capana01g000147 Solyc08g081750.2.1 2122655
Capana01g000148 Solyc08g081760.1.1 2130042
Capana01g000149 Solyc08g081770.2.1 2150713.5
Capana01g000150 Solyc08g081810.2.1 2170503
Capana01g000151 Solyc08g081820.2.1 2186361
Capana01g000152 Solyc08g081830.2.1 2245388
Capana01g000154 Solyc08g081890.2.1 2302458
Capana01g000155 Solyc08g081900.2.1 2310681
Capana01g000156 Solyc08g081910.2.1 2321457.5
Capana01g000157 Solyc08g081920.2.1 2330062
Capana01g000158 Solyc08g081650.1.1 2348358.5
Capana01g000159 Solyc08g081650.1.1 2353744
Capana01g000160 Solyc08g081650.1.1 2354906
Capana01g000161 Solyc08g081650.1.1 2364082.5
Capana01g000162 Solyc08g081650.1.1 2366011
Capana01g000164 Solyc08g081640.2.1 2376237
Capana01g000165 Solyc08g081630.1.1 2382351
Capana01g000166 Solyc08g081620.2.1 2394979
Capana01g000167 Solyc08g081610.2.1 2418616.5
Capana01g000169 Solyc06g073300.1.1 2442393
Capana01g000170 Solyc08g081600.1.1 2493184.5
Capana01g000171 Solyc08g081590.1.1 2499444.5
Capana01g000172 Solyc03g093870.1.1 2502064.5
Capana01g000173 Solyc08g081580.2.1 2505597.5
Capana01g000174 Solyc08g081570.2.1 2512847
Capana01g000175 Solyc08g081540.2.1 2528307
Capana01g000176 Solyc08g081540.2.1 2535772.5
Capana01g000177 Solyc08g081530.2.1 2557350
Capana01g000178 Solyc00g042840.1.1 2568834
Capana01g000179 Solyc00g042840.1.1 2570981
Capana01g000180 Solyc01g099200.2.1 2594228.5
Capana01g000181 Solyc08g081520.1.1 2598032.5
Capana01g000182 Solyc11g006350.1.1 2603104.5
Capana01g000183 Solyc05g053200.1.1 2613572
Capana01g000184 Solyc08g081500.1.1 2625699
Capana01g000185 Solyc08g081490.2.1 2647311.5
Capana01g000186 Solyc08g081480.2.1 2652009
Capana01g000187 Solyc08g081470.2.1 2695822
Capana01g000189 Solyc08g081450.2.1 2710140
Capana01g000190 Solyc08g081450.2.1 2714374.5
Capana01g000191 Solyc08g081430.2.1 2726659
Capana01g000192 Solyc08g081420.2.1 2744162
Capana01g000193 Solyc08g081410.2.1 2754002.5
Capana01g000194 Solyc08g081400.2.1 2764203.5
Capana01g000195 Solyc08g081390.2.1 2803752.5
Capana01g000196 Solyc08g081380.2.1 2808860
Capana01g000197 Solyc08g081370.1.1 2833435.5
Capana01g000198 Solyc08g081360.2.1 2855158
Capana01g000199 Solyc08g081350.2.1 2873015.5
Capana01g000200 Solyc08g081340.2.1 2897757
Capana01g000201 Solyc08g081330.2.1 2910009.5
Capana01g000202 Solyc08g081320.2.1 2924744
Capana01g000203 Solyc08g081310.2.1 2945756
Capana01g000204 Solyc08g081300.2.1 2962582.5
