gene position
Solyc08g005000.2.1 4047.5
Solyc08g005010.2.1 15519
Solyc08g005020.2.1 23741.5
Solyc08g005030.1.1 27990
Solyc08g005040.1.1 30034
Solyc08g005050.2.1 34326.5
Solyc08g005060.2.1 49831
Solyc08g005070.2.1 53916
Solyc08g005080.1.1 58481
Solyc08g005090.1.1 62828
Solyc08g005100.2.1 71462.5
Solyc08g005110.1.1 73888
Solyc08g005120.2.1 76760
Solyc08g005130.1.1 84149.5
Solyc08g005140.2.1 94869
Solyc08g005150.2.1 100792.5
Solyc08g005160.1.1 104406
Solyc08g005170.2.1 114125.5
Solyc08g005180.1.1 120524
Solyc08g005190.2.1 127582.5
Solyc08g005200.2.1 133497
Solyc08g005210.2.1 140259.5
Solyc08g005220.2.1 142294
Solyc08g005230.2.1 147331.5
Solyc08g005240.1.1 164673
Solyc08g005250.2.1 167680
Solyc08g005260.1.1 176955.5
Solyc08g005270.2.1 195467
Solyc08g005280.1.1 212889
Solyc08g005290.2.1 222261
Solyc08g005300.1.1 230839
Solyc08g005310.2.1 240140
Solyc08g005320.2.1 248231.5
Solyc08g005330.1.1 255136
Solyc08g005340.1.1 257223.5
Solyc08g005350.2.1 268186
Solyc08g005360.1.1 276804
Solyc08g005370.1.1 281038.5
Solyc08g005380.1.1 286723.5
Solyc08g005390.1.1 289121.5
Solyc08g005400.2.1 298662.5
Solyc08g005410.2.1 308542.5
Solyc08g005420.2.1 314559
Solyc08g005430.2.1 318872
Solyc08g005440.2.1 326440.5
Solyc08g005450.1.1 332242.5
Solyc08g005460.2.1 343777
Solyc08g005470.2.1 351032
Solyc08g005480.2.1 353135
Solyc08g005490.2.1 363721
Solyc08g005500.2.1 375943.5
Solyc08g005510.1.1 381515
Solyc08g005520.2.1 388279.5
Solyc08g005530.2.1 395764.5
Solyc08g005540.1.1 399946
Solyc08g005550.2.1 409542
Solyc08g005560.2.1 418611.5
Solyc08g005570.2.1 427147.5
Solyc08g005580.2.1 439674.5
Solyc08g005590.2.1 443202
Solyc08g005600.2.1 447693
Solyc08g005610.2.1 478457
Solyc08g005620.2.1 486787.5
Solyc08g005630.2.1 491621.5
Solyc08g005640.2.1 507623
Solyc08g005650.2.1 511900
Solyc08g005660.1.1 516842.5
Solyc08g005670.2.1 520427.5
Solyc08g005680.2.1 544235.5
Solyc08g005690.1.1 558801.5
Solyc08g005700.1.1 560487
Solyc08g005710.2.1 568276
Solyc08g005720.2.1 582481.5
Solyc08g005750.1.1 595120
Solyc08g005760.1.1 599422
Solyc08g005770.2.1 603655.5
Solyc08g005780.2.1 608857.5
Solyc08g005790.2.1 617514
Solyc08g005800.2.1 627419.5
Solyc08g005810.1.1 630052.5
Solyc08g005820.1.1 633308.5
Solyc08g005830.1.1 640032
Solyc08g005840.1.1 642291
Solyc08g005850.1.1 644794
Solyc08g005860.2.1 650812
Solyc08g005870.1.1 661532
Solyc08g005880.2.1 677685
Solyc08g005890.2.1 682418
Solyc08g005900.2.1 690046.5
Solyc08g005910.2.1 696397
Solyc08g005920.2.1 699245.5
Solyc08g005930.1.1 703623
Solyc08g005940.1.1 711243.5
Solyc08g005950.2.1 720824
Solyc08g005960.1.1 725983
Solyc08g005970.2.1 738925
Solyc08g005980.2.1 752346.5
Solyc08g005990.2.1 758091
Solyc08g006000.2.1 766423.5
Solyc08g006010.2.1 777814
Solyc08g006020.2.1 786383
Solyc08g006030.2.1 794184.5
Solyc08g006040.2.1 800130
Solyc08g006050.1.1 805651
Solyc08g006060.2.1 815422
Solyc08g006070.2.1 827765.5
Solyc08g006080.1.1 832174
Solyc08g006090.2.1 836751
Solyc08g006100.2.1 845768.5
Solyc08g006110.2.1 851785
Solyc08g006120.2.1 861023
Solyc08g006130.1.1 864948
Solyc08g006140.1.1 869472.5
Solyc08g006150.2.1 877165.5
Solyc08g006160.2.1 882170
Solyc08g006170.1.1 886650
Solyc08g006180.2.1 892461
Solyc08g006190.1.1 896202.5
Solyc08g006200.1.1 903031.5
Solyc08g006210.1.1 909630.5
Solyc08g006220.2.1 914206
Solyc08g006230.2.1 918176.5
Solyc08g006240.1.1 923882.5
Solyc08g006250.1.1 927964.5
Solyc08g006260.1.1 946559.5
Solyc08g006270.1.1 951014
Solyc08g006280.1.1 958366.5
Solyc08g006290.1.1 961629
Solyc08g006300.2.1 965054.5
Solyc08g006310.2.1 976290.5
Solyc08g006320.2.1 985746.5
Solyc08g006330.2.1 991301.5
Solyc08g006350.2.1 994013
Solyc08g006360.1.1 997085
Solyc08g006370.1.1 998069
Solyc08g006380.2.1 1004048.5
Solyc08g006390.1.1 1004997
Solyc08g006400.1.1 1006827.5
Solyc08g006410.2.1 1012642
Solyc08g006420.2.1 1021253.5
Solyc08g006430.2.1 1034977.5
Solyc08g006440.2.1 1045232.5
Solyc08g006450.1.1 1052659.5
Solyc08g006460.2.1 1063521.5
Solyc08g006470.2.1 1067106.5
Solyc08g006480.2.1 1074605
Solyc08g006490.1.1 1083459.5
Solyc08g006500.2.1 1101769
Solyc08g006510.2.1 1116263
Solyc08g006520.1.1 1130760
Solyc08g006530.2.1 1143813
Solyc08g006540.2.1 1151832
Solyc08g006550.2.1 1164313
Solyc08g006560.2.1 1172754.5
Solyc08g006570.2.1 1178163.5
Solyc08g006580.2.1 1180178
Solyc08g006590.1.1 1185653
Solyc08g006600.2.1 1197497
Solyc08g006610.2.1 1212825.5
Solyc08g006620.2.1 1218131.5
Solyc08g006630.2.1 1222833
Solyc08g006640.2.1 1230147
Solyc08g006650.2.1 1239614
Solyc08g006660.1.1 1245063
Solyc08g006670.2.1 1248493
Solyc08g006680.2.1 1254681
Solyc08g006690.1.1 1258036
Solyc08g006700.2.1 1262025.5
Solyc08g006710.2.1 1270169
Solyc08g006720.2.1 1277189
Solyc08g006730.1.1 1285978
Solyc08g006740.2.1 1297026
Solyc08g006750.2.1 1324849
Solyc08g006760.2.1 1331852.5
Solyc08g006770.2.1 1337647.5
Solyc08g006780.2.1 1343445
Solyc08g006790.2.1 1347349
Solyc08g006800.1.1 1352878.5
Solyc08g006810.1.1 1354734
Solyc08g006820.2.1 1359319
Solyc08g006830.2.1 1367653.5
Solyc08g006840.2.1 1377675
Solyc08g006850.2.1 1391655
Solyc08g006860.2.1 1404470.5
Solyc08g006870.2.1 1419166
Solyc08g006880.2.1 1435819.5
Solyc08g006890.2.1 1458644.5
Solyc08g006900.2.1 1462735.5
Solyc08g006910.2.1 1489862.5
Solyc08g006920.1.1 1493410
Solyc08g006930.2.1 1498502.5
Solyc08g006940.2.1 1502927.5
Solyc08g006950.2.1 1514798.5
Solyc08g006960.2.1 1542426
Solyc08g006970.2.1 1550612
Solyc08g006980.2.1 1557226
Solyc08g006990.1.1 1565012.5
Solyc08g007000.2.1 1579225.5
Solyc08g007010.2.1 1585643
Solyc08g007020.1.1 1590762
Solyc08g007030.2.1 1599654.5
Solyc08g007040.2.1 1604587
Solyc08g007050.1.1 1607899
Solyc08g007060.2.1 1631684.5
Solyc08g007070.2.1 1634865
Solyc08g007080.2.1 1639521
Solyc08g007090.1.1 1657640
Solyc08g007100.2.1 1666509.5
Solyc08g007110.2.1 1676116
Solyc08g007120.2.1 1694238
Solyc08g007130.2.1 1702460
Solyc08g007140.2.1 1706991
Solyc08g007150.1.1 1709135.5
Solyc08g007160.2.1 1713096
Solyc08g007170.1.1 1738855
Solyc08g007180.2.1 1743799
Solyc08g007190.2.1 1750895.5
Solyc08g007200.2.1 1771300
Solyc08g007210.2.1 1776619
Solyc08g007220.2.1 1788505
Solyc08g007230.1.1 1811300.5
Solyc08g007240.2.1 1826297
Solyc08g007250.1.1 1833187.5
Solyc08g007260.1.1 1836721.5
Solyc08g007270.2.1 1841290.5
Solyc08g007280.2.1 1853849
Solyc08g007290.2.1 1854316.5
Solyc08g007300.1.1 1854948.5
Solyc08g007310.2.1 1860203
Solyc08g007320.2.1 1873635
