first second position
DMC400058446 Solyc06g082930.2.1 21442.5
DMC400067338 Solyc05g054620.2.1 48032.5
DMC400022166 Solyc08g007860.2.1 67466
DMC400022110 Solyc08g080310.1.1 78852
DMC400022163 Solyc08g007840.1.1 95057
DMC400022109 Solyc08g007840.1.1 101154.5
DMC400022162 Solyc08g007830.1.1 108628
DMC400022161 Solyc08g007820.1.1 111453.5
DMC400022160 Solyc08g007820.1.1 115056
DMC400022108 Solyc08g080240.2.1 117199.5
DMC400022159 Solyc08g007800.2.1 128898
DMC400022158 Solyc08g007790.2.1 140130
DMC400022107 Solyc08g007780.2.1 143435.5
DMC400022105 Solyc08g007770.2.1 147646
DMC400060621 Solyc09g055860.1.1 165702
DMC400022157 Solyc08g007760.2.1 207811.5
DMC400022148 Solyc08g007710.2.1 219185.5
DMC400022146 Solyc08g007700.1.1 226463.5
DMC400022101 Solyc08g007690.1.1 229407.5
DMC400058473 Solyc08g007680.1.1 243464.5
DMC400022100 Solyc08g007680.1.1 247406
DMC400022098 Solyc08g007670.1.1 253370
DMC400022097 Solyc08g007620.1.1 256960
DMC400022096 Solyc08g007620.1.1 260468
DMC400022171 Solyc08g007610.1.1 268011.5
DMC400022145 Solyc08g007600.1.1 273346
DMC400022095 Solyc08g007600.1.1 276135
DMC400022144 Solyc08g007590.2.1 283540.5
DMC400022141 Solyc08g007580.2.1 290233
DMC400022093 Solyc08g007570.2.1 294535.5
DMC400022092 Solyc08g007560.1.1 311533
DMC400022139 Solyc03g006080.2.1 326844.5
DMC400022138 Solyc08g007540.2.1 340203.5
DMC400022137 Solyc08g007530.2.1 354950.5
DMC400022170 Solyc07g053030.2.1 380546.5
DMC400022136 Solyc08g007450.1.1 383312
DMC400022090 Solyc08g079170.2.1 390590
DMC400022135 Solyc08g007520.2.1 397187.5
DMC400022089 Solyc08g007510.2.1 403550
DMC400022131 Solyc08g007490.2.1 414899
DMC400022087 Solyc08g007480.1.1 425590
DMC400022086 Solyc00g244280.1.1 432836.5
DMC400022083 Solyc08g007470.1.1 435387
DMC400022081 Solyc08g007460.2.1 441360.5
DMC400022130 Solyc08g007450.1.1 448073.5
DMC400022079 Solyc08g079170.2.1 454300.5
DMC400022129 Solyc08g007440.1.1 460567.5
DMC400022169 Solyc08g079140.1.1 464589.5
DMC400022078 Solyc08g007430.1.1 481279.5
DMC400022077 Solyc08g007420.2.1 493850
DMC400022128 Solyc08g007410.2.1 498468
DMC400022074 Solyc08g007400.2.1 502410
DMC400022073 Solyc08g007390.2.1 507027.5
DMC400022072 Solyc02g087950.2.1 524459
DMC400022127 Solyc08g007360.2.1 548452
DMC400022068 Solyc08g007350.1.1 553479.5
DMC400022122 Solyc08g007350.1.1 556519
DMC400022067 Solyc08g007340.2.1 557564.5
DMC400022066 Solyc08g007340.2.1 561378.5
DMC400022120 Solyc08g007330.2.1 584373
DMC400022118 Solyc09g064470.2.1 687466.5
DMC400022116 Solyc08g007310.2.1 699972
DMC400022055 Solyc06g048910.1.1 707141.5
DMC400022053 Solyc08g007250.1.1 716433.5
DMC400022052 Solyc06g048910.1.1 722455
DMC400022050 Solyc08g007290.2.1 726564.5
DMC400022114 Solyc08g007270.2.1 743043.5
DMC400022115 Solyc08g007270.2.1 742153
DMC400022048 Solyc09g098340.2.1 767219.5
DMC400022046 Solyc08g013970.1.1 777116
DMC400004052 Solyc08g013970.1.1 802297.5
DMC400004060 Solyc08g013970.1.1 809595
