gene height position angle
Capana01g000862 50 281806466.5 30
Capana01g000864 50 281662957.5  40
Capana01g000870 50 281491266.5 50
Capana01g000913 50 279155795.5 60
DMC400013463 10 47547982.5 10
DMC400016417 10 48592390 15
DMC400016420 10 48582568.5  20
DMC400016423 10 48557548.5 25
DMC400016465 10 48599867 30
DMC400029816 10 48527708 35
DMC400029818 10 48501263 40
DMC400034399 10 47730643.5 45
DMC400051526 10 45111191.5 50
DMC400053750 10 48133668 55
DMC400053795 10 48384029 60
DMC400053796 10 48377512 70
Solyc08g075630.2.1 30 59767922.5 30
Solyc08g075640.2.1 30 59778765  45
Solyc08g076000.2.1 30 60064920.5 60
